INFO     core.jenkins_utils:jenkins_utils.py:210 running cleanup
DEBUG    NewItemPage:base_page.py:23 Waiting for page content to load: http://localhost:8080/view/all/newJob
DEBUG    NewItemPage:ui_element.py:28 waiting for presence_of_element_located(('xpath', "//h1[text()='New Item']"),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element HTTP/1.1" 200 0
DEBUG    NewItemPage:base_page.py:26 Page content loaded: http://localhost:8080/view/all/newJob
DEBUG    NewItemPage:ui_element.py:28 waiting for presence_of_element_located(('css selector', '#name'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element/f.AF0C14A2C1765536EFBD0B03ACB324BD.d.2DB340979D146551B172D706F93101AA.e.52/value HTTP/1.1" 200 0
DEBUG    NewItemPage:ui_element.py:28 waiting for element_to_be_clickable(('class name', 'hudson_matrix_MatrixProject'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "GET /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element/f.AF0C14A2C1765536EFBD0B03ACB324BD.d.2DB340979D146551B172D706F93101AA.e.94/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element/f.AF0C14A2C1765536EFBD0B03ACB324BD.d.2DB340979D146551B172D706F93101AA.e.94/click HTTP/1.1" 200 0
DEBUG    NewItemPage:ui_element.py:28 waiting for element_to_be_clickable(('css selector', '#ok-button'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "GET /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element/f.AF0C14A2C1765536EFBD0B03ACB324BD.d.2DB340979D146551B172D706F93101AA.e.95/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element/f.AF0C14A2C1765536EFBD0B03ACB324BD.d.2DB340979D146551B172D706F93101AA.e.95/click HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "GET /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/url HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "GET /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/url HTTP/1.1" 200 0
DEBUG    MultiConfigProjectConfigPage:ui_element.py:28 waiting for visibility_of_element_located(('css selector', '.jenkins-section:has(#environment)'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    MultiConfigProjectConfigPage:ui_element.py:28 waiting for visibility_of(<selenium.webdriver.remote.webelement.WebElement (session="4ce857934bfbbdfa0cee3ce3b2d41b8b", element="f.AF0C14A2C1765536EFBD0B03ACB324BD.d.98D45EF1F8EF95980D4EED6F6254B7E4.e.280")>,)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "POST /session/4ce857934bfbbdfa0cee3ce3b2d41b8b/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:51075 "DELETE /session/4ce857934bfbbdfa0cee3ce3b2d41b8b HTTP/1.1" 200 0
